FechaHora,Fecha,Hora,Estado,Dia Semana,Minutos,MinutosON,MinutosOFF,ConexionesDiarias,Turno
2021-11-01 07:55:00,1/11/2021,07:55,ON,2,,,,,Mañana
2021-11-01 11:55:00,1/11/2021,11:55,OFF,2,24,,,,Mañana
2021-11-01 12:25:00,1/11/2021,12:25,ON,2,,,,,Mañana
2021-11-01 13:14:00,1/11/2021,13:14,OFF,2,49,,,,Tarde
2021-11-01 14:49:00,1/11/2021,14:49,ON,2,,,,,Tarde
2021-11-01 17:45:00,1/11/2021,17:45,OFF,2,176,249,975,3,Tarde
2021-11-02 09:03:00,2/11/2021,09:03,ON,3,,,,,Mañana
2021-11-02 11:50:00,2/11/2021,11:50,OFF,3,167,,,,Mañana
2021-11-02 12:50:00,2/11/2021,12:50,ON,3,,,,,Mañana
2021-11-02 13:30:00,2/11/2021,13:30,OFF,3,4,,,,Tarde
2021-11-02 14:01:00,2/11/2021,14:01,ON,3,,,,,Tarde
2021-11-02 21:40:00,2/11/2021,21:40,OFF,3,459,630,774,3,Tarde
2021-11-03 09:15:00,3/11/2021,09:15,ON,4,,,,,Mañana
2021-11-03 12:40:00,3/11/2021,12:40,OFF,4,25,,,,Mañana
2021-11-03 14:28:00,3/11/2021,14:28,ON,4,,,,,Tarde
2021-11-03 17:32:00,3/11/2021,17:32,OFF,4,184,209,1231,3,Tarde
2021-11-04 08:43:00,4/11/2021,08:43,ON,5,,,,,Mañana
2021-11-04 13:10:00,4/11/2021,13:10,OFF,5,267,,,,Tarde
2021-11-04 14:01:00,4/11/2021,14:01,ON,5,,,,,Tarde
2021-11-04 21:40:00,4/11/2021,21:40,OFF,5,459,726,714,2,Tarde
2021-11-05 08:45:00,5/11/2021,08:45,ON,6,,,,,Mañana
2021-11-05 11:58:00,5/11/2021,11:58,OFF,6,193,,,,Mañana
2021-11-05 13:15:00,5/11/2021,13:15,ON,6,,,,,Tarde
2021-11-05 13:30:00,5/11/2021,13:30,OFF,6,15,,,,Tarde
2021-11-05 14:01:00,5/11/2021,14:01,ON,6,,,,,Tarde
2021-11-05 17:45:00,5/11/2021,17:45,OFF,6,224,432,1008,3,Tarde
2021-11-08 08:55:00,8/11/2021,08:55,ON,2,,,,,Mañana
2021-11-08 11:55:00,8/11/2021,11:55,OFF,2,18,,,,Mañana
2021-11-08 14:23:00,8/11/2021,14:23,ON,2,,,,,Tarde
2021-11-08 18:45:00,8/11/2021,18:45,OFF,2,262,280,998,3,Tarde
2021-11-09 08:40:00,9/11/2021,08:40,ON,3,,,,,Mañana
2021-11-09 11:55:00,9/11/2021,11:55,OFF,3,195,,,,Mañana
2021-11-09 12:29:00,9/11/2021,12:29,ON,3,,,,,Mañana
2021-11-09 13:31:00,9/11/2021,13:31,OFF,3,62,,,,Tarde
2021-11-09 14:27:00,9/11/2021,14:27,ON,3,,,,,Tarde
2021-11-09 21:39:00,9/11/2021,21:39,OFF,3,432,689,751,3,Tarde
2021-11-10 09:15:00,10/11/2021,09:15,ON,4,,,,,Mañana
2021-11-10 11:55:00,10/11/2021,11:55,OFF,4,16,,,,Mañana
2021-11-10 13:59:00,10/11/2021,13:59,ON,4,,,,,Tarde
2021-11-10 14:50:00,10/11/2021,14:50,OFF,4,51,,,,Tarde
2021-11-10 15:02:00,10/11/2021,15:02,ON,4,,,,,Tarde
2021-11-10 17:43:00,10/11/2021,17:43,OFF,4,161,228,1212,3,Tarde
2021-11-11 08:50:00,11/11/2021,08:50,ON,5,,,,,Mañana
2021-11-11 11:59:00,11/11/2021,11:59,OFF,5,189,,,,Mañana
2021-11-11 15:00:00,11/11/2021,15:00,ON,5,,,,,Tarde
2021-11-11 17:25:00,11/11/2021,17:25,OFF,5,145,,,,Tarde
2021-11-11 18:10:00,11/11/2021,18:10,ON,5,,,,,Tarde
2021-11-11 21:43:00,11/11/2021,21:43,OFF,5,213,547,893,3,Tarde
2021-11-12 07:55:00,12/11/2021,07:55,ON,6,,,,,Mañana
2021-11-12 13:05:00,12/11/2021,13:05,OFF,6,31,,,,Tarde
2021-11-12 14:25:00,12/11/2021,14:25,ON,6,,,,,Tarde
2021-11-12 16:03:00,12/11/2021,16:03,OFF,6,98,,,,Tarde
2021-11-12 17:15:00,12/11/2021,17:15,ON,6,,,,,Tarde
2021-11-12 18:22:00,12/11/2021,18:22,OFF,6,67,196,965,3,Tarde
2021-11-15 07:55:00,15/11/2021,07:55,ON,2,,,,,Mañana
2021-11-15 11:55:00,15/11/2021,11:55,OFF,2,24,,,,Mañana
